238:79,S,'42',77@1:6,237
237:79,S,'42',77@1;77,S,76,73@1:73,236
164:'04',TTD,'04',-1@0.64;-1,TFD,'01',-1@0.091:01_cluster_A40926|2105e4|1330-1498|66|01_cluster_A40926-23-Item18-E-Item19-Cond_Fill_0,28_cluster_NcoxDSM45129|26d899|1328-1501|3736|28_cluster_NcoxDSM45129-1495-Item18-E-Item19-Cond_Fill_0
28_cluster_NcoxDSM45129|26d899|1328-1501|3736|28_cluster_NcoxDSM45129-1495-Item18-E-Item19-Cond_Fill_0:-1,TFD,'01',-1@0.091;-1,TLFD,-1,'28'@0.36
160:29,S,'03','04'@1;'03',TTD,-1,'03'@0.61:122,159
159:'03',TTD,-1,'03'@0.61;'03',T,'03',25@0.48:139,158
158:'03',T,'03',25@0.48;25,S,23,'45'@0.96:142,157
157:25,S,23,'45'@0.96;'45',TTD,'45',-1@0.64:45_cluster_WAC1376cluster143|89a266|1314-1470|5902|45_cluster_WAC1376cluster143-2261-Item18-E-Item17-Cond_Fill_0,156
156:'45',TTD,'45',-1@0.64;-1,TFD,'52',-1@0.13:52_cluster_WAC4182cluster089|6721ad|1310-1465|6997|52_cluster_WAC4182cluster089-2741-Item19-E-Item18-Cond_Fill_0,155
155:-1,TFD,'52',-1@0.13;-1,TFD,6,-1@0.096:151,154
154:-1,TFD,6,-1@0.096;-1,TFD,'08',-1@0.065:08_cluster_AlurRistocetin|b5adf0|1312-1467|1050|08_cluster_AlurRistocetin-429-Item19-E-Item18-Cond_Fill_0,55_cluster_WAC05977|7779c3|1305-1461|7433|55_cluster_WAC05977-2904-Item14-E-Item15-Cond_Fill_0
55_cluster_WAC05977|7779c3|1305-1461|7433|55_cluster_WAC05977-2904-Item14-E-Item15-Cond_Fill_0:-1,TFD,'08',-1@0.065;-1,TLFD,-1,'55'@0.34
151:-1,TFD,6,-1@0.096;6,S,'06',4@1:06_cluster_Ajap-Ristocetin|b7eff3|1308-1463|780|06_cluster_Ajap-Ristocetin-286-Item15-E-Item16-Cond_Fill_0,150
150:6,S,'06',4@1;4,S,'53',2@1:53_cluster_WAC4197cluster073|a35ef6|1308-1463|7182|53_cluster_WAC4197cluster073-2789-Item14-E-Item15-Cond_Fill_0,149
149:4,S,'53',2@1;2,S,'25','27'@1:25_cluster_JPLW01000007|f68926|1308-1463|3303|25_cluster_JPLW01000007-1283-Item15-E-Item16-Cond_Fill_0,27_cluster_KF882511-Ristocetin|f68926|1308-1463|3607|27_cluster_KF882511-Ristocetin-1416-Item15-E-Item16-Cond_Fill_0
142:25,S,23,'45'@0.96;23,S,'44','46'@1:44_cluster_WAC1375|5eeb3d|1321-1477|5682|44_cluster_WAC1375-2129-Item14-E-Item15-Cond_Fill_0,46_cluster_WAC1416cluster068|d6e140|1318-1474|6093|46_cluster_WAC1416cluster068-2306-Item14-E-Item15-Cond_Fill_0
139:'03',T,'03',25@0.48;'03',TTD,-1,'03'@0.64:129,138
138:'03',TTD,-1,'03'@0.64;'03',T,'11','03'@0.5:11_cluster_AregGY080|ac6242|1334-1498|1502|11_cluster_AregGY080-602-Item15-E-Item16-Cond_Fill_0,137
137:'03',T,'11','03'@0.5;'03',TTD,'03',-1@0.64:03_cluster_AalbaDSM44262|311e81|1331-1495|294|03_cluster_AalbaDSM44262-96-Item15-E-Item16-Cond_Fill_0,136
136:'03',TTD,'03',-1@0.64;-1,TFD,'09',-1@0.091:09_cluster_AOHO0100074|ca1b25|1334-1498|1187|09_cluster_AOHO0100074-462-Item14-E-Item15-Cond_Fill_0,135
135:-1,TFD,'09',-1@0.091;-1,TLFD,-1,9@0.36;9,S,'40','51'@1:40_cluster_Vancomycin|aa4140|1330-1494|5221|40_cluster_Vancomycin-1956-Item14-E-Item15-Cond_Fill_0,51_cluster_WAC4169cluster051|66fb6a|1330-1494|6869|51_cluster_WAC4169cluster051-2638-Item19-E-Item18-Cond_Fill_0
129:'03',TTD,-1,'03'@0.64;-1,TFD,39,-1@0.091:125,128
128:-1,TFD,39,-1@0.091;-1,TLFD,-1,35@0.36;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|903de1|1333-1505|632|05_cluster_AbalhimycinaFH1894-231-Item14-E-Item15-Cond_Fill_0,14_cluster_Balhimycin|69cf6a|1333-1505|1845|14_cluster_Balhimycin-709-Item14-E-Item15-Cond_Fill_0
125:-1,TFD,39,-1@0.091;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|2871d2|1334-1506|2402|18_cluster_Chloroeremomycin-1-961-Item14-E-Item15-Cond_Fill_0,26_cluster_KaridNRRLB16535chlor|2871d2|1334-1506|3462|26_cluster_KaridNRRLB16535chlor-1355-Item14-E-Item15-Cond_Fill_0
122:'03',TTD,-1,'03'@0.61;-1,TFD,'47',-1@0.091:47_cluster_WAC1420|713508|1350-1520|6215|47_cluster_WAC1420-2418-Item14-E-Item15-Cond_Fill_0,29_cluster_pekiskomycin|61ac15|1343-1514|3830|29_cluster_pekiskomycin-1529-Item14-E-Item15-Cond_Fill_0
29_cluster_pekiskomycin|61ac15|1343-1514|3830|29_cluster_pekiskomycin-1529-Item14-E-Item15-Cond_Fill_0:-1,TFD,'47',-1@0.091;-1,TLFD,-1,'29'@0.36
119:-1,TFD,-1,29@0.12;-1,TFD,'02',-1@0.071:02_cluster_A47934|3c365b|1327-1501|170|02_cluster_A47934-65-Item19-E-Item20-Cond_Fill_0,48_cluster_WAC1424cluster109|2a4bff|1331-1502|6335|48_cluster_WAC1424cluster109-2483-Item16-E-Item15-Cond_Fill_0
48_cluster_WAC1424cluster109|2a4bff|1331-1502|6335|48_cluster_WAC1424cluster109-2483-Item16-E-Item15-Cond_Fill_0:-1,TFD,'02',-1@0.071;-1,TLFD,-1,'48'@0.34
114:73,TTD,73,-1@0.71;73,S,71,'47'@1:92,113
113:73,S,71,'47'@1;'47',TTD,'47',-1@0.6:95,112
112:'47',TTD,'47',-1@0.6;-1,TFD,39,-1@0.12:98,111
111:-1,TFD,39,-1@0.12;-1,TFD,-1,35@0.1:107,110
110:-1,TFD,-1,35@0.1;35,S,'05','14'@1:05_cluster_AbalhimycinaFH1894|8cd520|1907-2085|615|05_cluster_AbalhimycinaFH1894-230-Item6-E-Item7-Cond_Fill_0,14_cluster_Balhimycin|c600a7|1907-2085|1885|14_cluster_Balhimycin-708-Item6-E-Item7-Cond_Fill_0
107:-1,TFD,-1,35@0.1;-1,TFD,9,-1@0.034:103,106
106:-1,TFD,9,-1@0.034;-1,TFD,'11',-1@0.056:11_cluster_AregGY080|d0f836|1910-2090|1468|11_cluster_AregGY080-601-Item6-E-Item7-Cond_Fill_0,03_cluster_AalbaDSM44262|b89e0c|1890-2071|354|03_cluster_AalbaDSM44262-95-Item6-E-Item7-Cond_Fill_0
03_cluster_AalbaDSM44262|b89e0c|1890-2071|354|03_cluster_AalbaDSM44262-95-Item6-E-Item7-Cond_Fill_0:-1,TFD,'11',-1@0.056;-1,TLFD,-1,'03'@0.35
103:-1,TFD,9,-1@0.034;9,T,'09',9@0.2:09_cluster_AOHO0100074|5a50ae|1902-2083|1214|09_cluster_AOHO0100074-461-Item6-E-Item7-Cond_Fill_0,102
102:9,T,'09',9@0.2;9,S,'40','51'@1:40_cluster_Vancomycin|b91546|1903-2084|5205|40_cluster_Vancomycin-1955-Item6-E-Item7-Cond_Fill_0,51_cluster_WAC4169cluster051|ba280c|1905-2086|6825|51_cluster_WAC4169cluster051-2640-Item27-E-Item26-Cond_Fill_0
98:-1,TFD,39,-1@0.12;39,S,'18','26'@1:18_cluster_Chloroeremomycin-1|4e2bb9|1907-2087|2385|18_cluster_Chloroeremomycin-1-960-Item6-E-Item7-Cond_Fill_0,26_cluster_KaridNRRLB16535chlor|4e2bb9|1907-2087|3445|26_cluster_KaridNRRLB16535chlor-1354-Item6-E-Item7-Cond_Fill_0
95:'47',TTD,'47',-1@0.6;'47',T,'47','29'@0.5:47_cluster_WAC1420|6cb684|1923-2103|6267|47_cluster_WAC1420-2415-Item6-E-Item7-Cond_Fill_0,29_cluster_pekiskomycin|cb4f2e|248-427|3813|29_cluster_pekiskomycin-1527-Item6-E-Item7-Cond_Fill_0
92:73,S,71,'47'@1;71,TTD,71,-1@0.67:84,91
91:71,TTD,71,-1@0.67;-1,TFD,107,-1@0.11:87,90
90:-1,TFD,107,-1@0.11;-1,TLFD,-1,107@0.44;107,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|4493-4673|1611|12_cluster_ArifDSM43936-1-659-Item13-E-Item14-Cond_Fill_0,56_cluster_WAC06369|3856d8|4469-4649|7544|56_cluster_WAC06369-2950-Item17-E-Item18-Cond_Fill_0
87:-1,TFD,107,-1@0.11;107,S,'12','56'@1:12_cluster_ArifDSM43936-3|b905de|3007-3180|1603|12_cluster_ArifDSM43936-1-659-Item9-E-Item10-Cond_Fill_0,56_cluster_WAC06369|3856d8|2983-3156|7536|56_cluster_WAC06369-2950-Item13-E-Item14-Cond_Fill_0
84:71,TTD,71,-1@0.67;71,TTD,-1,71@1:70_cluster_TLI55.cluster001|1dcea7|1526-1679|9669|70_cluster_TLI55.cluster001-3658-Item4-E-Item5-Cond_Fill_0,83
83:71,TTD,-1,71@1;71,S,63,70@1:13_cluster_AspOK074cluster1|2f3ccd|1369-1541|1751|13_cluster_AspOK074cluster1-691-Item34-E-Item35-Cond_Fill_0,82
82:71,S,63,70@1;70,S,69,66@1:78,81
81:70,S,69,66@1;66,S,'35','50'@1:35_cluster_SspNRRLS1521-3|4d8679|1363-1533|4650|35_cluster_SspNRRLS1521-1-1760-Item14-E-Item15-Cond_Fill_0,50_cluster_WAC01529|b2e10b|1372-1543|6716|50_cluster_WAC01529-2568-Item35-E-Item36-Cond_Fill_0
78:70,S,69,66@1;69,S,'31','32'@1:31_cluster_SluteocolorNRBC13826|26e45e|1363-1533|4148|31_cluster_SluteocolorNRBC13826-1611-Item39-E-Item40-Cond_Fill_0,32_cluster_Ssilaceus-3|0da9d1|1363-1533|4275|32_cluster_Ssilaceus-1-1656-Item8-E-Item9-Cond_Fill_0
13_cluster_AspOK074cluster1|2f3ccd|1369-1541|1751|13_cluster_AspOK074cluster1-691-Item34-E-Item35-Cond_Fill_0:71,S,63,70@1;63,SL,61,'13'@1
70_cluster_TLI55.cluster001|1dcea7|1526-1679|9669|70_cluster_TLI55.cluster001-3658-Item4-E-Item5-Cond_Fill_0:71,TTD,-1,71@1;-1,TLFD,-1,'70'@1
73:77,S,76,73@1;76,T,76,70@0.5:53,72
72:76,T,76,70@0.5;70,S,66,69@1:64,71
71:70,S,66,69@1;69,S,'32','31'@0.81:32_cluster_Ssilaceus-2|cb43ed|2899-3082|4257|32_cluster_Ssilaceus-1-1654-Item13-E-Item14-Cond_Fill_0,70
70:69,S,'32','31'@0.81;'31',D,'31','31'@0.12:31_cluster_SluteocolorNRBC13826|dfb632|2899-3082|4126|31_cluster_SluteocolorNRBC13826-1610-Item30-E-Item31-Cond_Fill_0,69
69:'31',D,'31','31'@0.12;'31',T,'31','32'@0.19:31_cluster_SluteocolorNRBC13826|dfb632|1347-1531|4118|31_cluster_SluteocolorNRBC13826-1610-Item26-E-Item27-Cond_Fill_0,32_cluster_Ssilaceus-2|cb43ed|1347-1531|4249|32_cluster_Ssilaceus-1-1654-Item9-E-Item10-Cond_Fill_0
64:70,S,66,69@1;66,TTD,66,-1@0.67:60,63
63:66,TTD,66,-1@0.67;-1,TFD,'13',-1@0.11:13_cluster_AspOK074cluster1|ff28ca|1357-1555|1715|13_cluster_AspOK074cluster1-690-Item21-E-Item22-Cond_Fill_0,13_cluster_AspOK074cluster1|ff28ca|2904-3097|1723|13_cluster_AspOK074cluster1-690-Item25-E-Item26-Cond_Fill_0
13_cluster_AspOK074cluster1|ff28ca|2904-3097|1723|13_cluster_AspOK074cluster1-690-Item25-E-Item26-Cond_Fill_0:-1,TFD,'13',-1@0.11;-1,TLFD,-1,'13'@0.44
60:66,TTD,66,-1@0.67;66,D,66,66@0.33:56,59
59:66,D,66,66@0.33;66,S,'50','35'@1:50_cluster_WAC01529|9b5162|1374-1573|6689|50_cluster_WAC01529-2567-Item22-E-Item23-Cond_Fill_0,35_cluster_SspNRRLS1521-3|3cb15a|282-520|4664|35_cluster_SspNRRLS1521-1-1759-Item1-E-Item2-Cond_Fill_0
56:66,D,66,66@0.33;66,S,'50','35'@1:50_cluster_WAC01529|9b5162|2936-3136|6697|50_cluster_WAC01529-2567-Item26-E-Item27-Cond_Fill_0,35_cluster_SspNRRLS1521-3|3cb15a|1843-2020|4672|35_cluster_SspNRRLS1521-1-1759-Item5-E-Item6-Cond_Fill_0
53:76,T,76,70@0.5;76,T,76,53@0.097:13,52
52:76,T,76,53@0.097;53,T,90,53@0.07:40,51
51:53,T,90,53@0.07;53,S,'61',51@0.54:45,50
50:53,S,'61',51@0.54;51,S,'43','54'@1:43_cluster_WAC01325|b6db0d|1346-1518|5564|43_cluster_WAC01325-2080-Item17-E-Item18-Cond_Fill_0,49
49:51,S,'43','54'@1;'54',T,'54','61'@0.5:54_cluster_WAC05379-3|ba39af|1353-1525|7269|54_cluster_WAC05379-1-2851-Item6-E-Item7-Cond_Fill_0,61_cluster_FNTE|83000e|1348-1520|8189|61_cluster_FNTE-3137-Item17-E-Item18-Cond_Fill_0
45:53,S,'61',51@0.54;'61',T,'61',51@0.27:61_cluster_FNTE|83000e|2847-3025|8197|61_cluster_FNTE-3137-Item21-E-Item22-Cond_Fill_0,44
44:'61',T,'61',51@0.27;51,S,'43','54'@1:43_cluster_WAC01325|b6db0d|2847-3023|5572|43_cluster_WAC01325-2080-Item21-E-Item22-Cond_Fill_0,54_cluster_WAC05379-3|ba39af|2853-3029|7277|54_cluster_WAC05379-1-2851-Item10-E-Item11-Cond_Fill_0
40:53,T,90,53@0.07;90,S,89,86@0.35:26,39
39:90,S,89,86@0.35;86,TTD,-1,86@0.12:65_cluster_SspCNT371.cluster001|f326c5|2883-3062|8807|65_cluster_SspCNT371.cluster001-3384-Item31-E-Item32-Cond_Fill_0,38
38:86,TTD,-1,86@0.12;86,T,89,86@0.021:32,37
37:86,T,89,86@0.021;86,S,'63',84@0.44:63_cluster_SspCNQ525.cluster001|4ed3e5|2883-3068|8506|63_cluster_SspCNQ525.cluster001-3272-Item31-E-Item32-Cond_Fill_0,36
36:86,S,'63',84@0.44;84,SL,'65',82@0.44;82,S,'66','64'@1:66_cluster_SspCNY243.cluster001|731b10|2891-3073|8966|66_cluster_SspCNY243.cluster001-3438-Item31-E-Item32-Cond_Fill_0,64_cluster_SspCNQ865.cluster001|180773|2882-3064|8615|64_cluster_SspCNQ865.cluster001-3328-Item31-E-Item32-Cond_Fill_0
